zip_code,Flooding,Pothole,total_complaints,overlap_flag,priority_score
77007,39,402,441,1,490
77008,33,313,346,1,389
77082,50,156,206,1,266
77006,20,189,209,1,239
77009,21,165,186,1,217
77004,15,164,179,1,204
77077,7,176,183,1,200
77030,23,143,166,1,199
77003,23,142,165,1,198
77093,14,157,171,1,195
77057,10,161,171,1,191
77063,7,156,163,1,180
77002,15,137,152,1,177
77019,9,147,156,1,175
77018,19,127,146,1,175
77089,1,160,161,1,172
77098,5,138,143,1,158
77096,22,97,119,1,151
77023,12,117,129,1,151
77072,9,122,131,1,150
77087,22,90,112,1,144
77056,10,110,120,1,140
77081,7,116,123,1,140
77054,6,110,116,1,132
77021,15,91,106,1,131
77088,15,91,106,1,131
77055,8,101,109,1,127
77020,12,92,104,1,126
77061,4,108,112,1,126
77025,7,102,109,1,126
77022,7,100,107,1,124
77011,9,94,103,1,122
77005,4,104,108,1,122
77091,11,88,99,1,120
77339,9,91,100,1,119
77075,10,88,98,1,118
77042,5,97,102,1,117
77033,22,62,84,1,116
77036,1,103,104,1,115
77017,8,87,95,1,113
77071,18,66,84,1,112
77080,5,92,97,1,112
77048,4,92,96,1,110
77076,9,82,91,1,110
77079,11,77,88,1,109
77026,13,71,84,1,107
77016,15,66,81,1,106
77092,11,73,84,1,105
77027,8,78,86,1,104
77099,3,86,89,1,102
77045,12,68,80,1,102
77024,8,74,82,1,100
77051,5,79,84,1,99
77041,2,84,86,1,98
77028,5,76,81,1,96
77015,15,56,71,1,96
77074,4,73,77,1,91
77012,10,58,68,1,88
77040,0,81,81,0,81
77035,4,58,62,1,76
77047,4,58,62,1,76
77032,1,61,62,1,73
77013,7,45,52,1,69
77029,4,51,55,1,69
77034,5,48,53,1,68
77084,4,48,52,1,66
77043,2,42,44,1,56
77085,10,19,29,1,49
77396,2,33,35,1,47
77062,0,43,43,0,43
77345,0,43,43,0,43
77053,1,29,30,1,41
77039,0,36,36,0,36
77078,5,16,21,1,36
77058,0,30,30,0,30
77060,0,26,26,0,26
77489,1,14,15,1,26
77365,1,13,14,1,25
77031,0,25,25,0,25
77037,1,13,14,1,25
77070,2,10,12,1,24
77338,0,22,22,0,22
77067,2,7,9,1,21
77044,1,3,4,1,15
77429,1,1,2,1,13
77083,0,12,12,0,12
77336,0,10,10,0,10
77477,0,9,9,0,9
77059,0,9,9,0,9
77546,0,8,8,0,8
77598,0,6,6,0,6
77401,0,5,5,0,5
77090,0,5,5,0,5
77478,0,4,4,0,4
77073,0,4,4,0,4
77050,0,4,4,0,4
77373,0,3,3,0,3
77201,0,3,3,0,3
77014,1,0,1,0,2
77449,0,2,2,0,2
77520,0,2,2,0,2
77010,0,2,2,0,2
77086,0,2,2,0,2
77346,0,2,2,0,2
77450,0,2,2,0,2
77046,0,1,1,0,1
77049,0,1,1,0,1
77069,0,1,1,0,1
77064,0,1,1,0,1
77237,0,1,1,0,1
77204,0,1,1,0,1
77504,0,1,1,0,1
77498,0,1,1,0,1
77586,0,1,1,0,1
77587,0,1,1,0,1
